,Nombre del parque eolico,Pais,Departamento / Zona,Ciudad,turbinas eolicas,Altura de las gondolas,Potencia nominal total,Operativo,Parque eolico onshore,Desarrolladores,Operador,Propietario,Fuente,Latitud,Longitud,Sistema geodesico,Localizacion precisa,Puesta en servicio,Desarrollador,Imagenes de Google Maps,Parte,Otro nombre,Propietarios,Altitud,turbina eolica,En construccion,Deshabilitar,Operadores,Sitio web,"direccion de correo electronico a fin de inscribirle al boletin de noticias, estrictamente destinada al envio de los boletines de noticias y por un periodo de tiempo limitado a la duracion de la inscripcion a dichos boletines de noticias.","direccion de correo electronico y nombre de la empresa cuando se soliciten presupuestos o se adquieran productos, unicamente destinados a realizar el seguimiento de los clientes y durante un periodo de tiempo conforme a las obligaciones contables."
305,Las Hoyuelas,Espana,Albacete (Castilla-La Mancha),Pinilla,"Gamesa G58/850 (potencia 850 kW, diametro 58 m)",,34 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 49' 0.5""","-1° 8' 5.5""",WGS84,si,2006,Acciona Energia,Imagenes de Google Maps,Hoyuela-Rosales,Hoyuela-Rosales,,,,,,,,,
306,Las Llanas de Codes,Espana,Navarra,Aguilar de Codes,"Acciona AW-1500/70 (potencia 1 500 kW, diametro 70 m)",,30 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 35' 24""","-2° 20' 23.9""",WGS84,si,2002,Acciona Energia,Imagenes de Google Maps,Aguilar,,,,,,,,,,
307,Las Llanas de Codes,Espana,Navarra,Aguilar de Codes,"Acciona AW-1500/70 (potencia 1 500 kW, diametro 70 m)",,30 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 35' 24""","-2° 20' 23.9""",WGS84,si,2002,Acciona Energia,Imagenes de Google Maps,Aguilar,,,,,,,,,,
308,Las Llanas de Codes,Espana,Navarra,Aguilar de Codes,"Acciona AW-1500/70 (potencia 1 500 kW, diametro 70 m)",,30 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 35' 24""","-2° 20' 23.9""",WGS84,si,2002,Acciona Energia,Imagenes de Google Maps,Aguilar,,,,,,,,,,
309,Las Llanas de Codes,Espana,Navarra,Aguilar de Codes,"Acciona AW-1500/70 (potencia 1 500 kW, diametro 70 m)",,30 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 35' 24""","-2° 20' 23.9""",WGS84,si,2002,Acciona Energia,Imagenes de Google Maps,Aguilar,,,,,,,,,,
310,Las Llanas de Codes,Espana,Navarra,Aguilar de Codes,"Acciona AW-1500/70 (potencia 1 500 kW, diametro 70 m)",,30 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 35' 24""","-2° 20' 23.9""",WGS84,si,2002,Acciona Energia,Imagenes de Google Maps,Aguilar,,,,,,,,,,
311,Las Llanas de Codes,Espana,Navarra,Aguilar de Codes,"Acciona AW-1500/70 (potencia 1 500 kW, diametro 70 m)",,30 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 35' 24""","-2° 20' 23.9""",WGS84,si,2002,Acciona Energia,Imagenes de Google Maps,Aguilar,,,,,,,,,,
312,Las Lomas,Espana,Granada (Andalucia),"Lanjaron, El pinar","Neg Micon NM82/1500 (potencia 1 500 kW, diametro 82 m)",,15 000 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 54' 35.4""","-3° 31' 3.9""",WGS84,si,2004,Viento y Energia,Imagenes de Google Maps,,,,,"Enercon E82/2000 (potencia 2 000 kW, diametro 82 m)",,,,,,
313,Las Lomas,Espana,Granada (Andalucia),"Lanjaron, El pinar","Neg Micon NM82/1500 (potencia 1 500 kW, diametro 82 m)",,15 000 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 54' 35.4""","-3° 31' 3.9""",WGS84,si,2004,Viento y Energia,Imagenes de Google Maps,,,,,"Enercon E82/2000 (potencia 2 000 kW, diametro 82 m)",,,,,,
314,Las Lomillas,Espana,Almeria (Andalucia),AbrucenaÂ ,"Suzlon S88/2100 (potencia 2 100 kW, diametro 88 m)",,12 600 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 10' 56.4""","-2° 47' 20""",WGS84,si,2009,Viento y Energia,Imagenes de Google Maps,,,,,,,,,,,
315,Las Perdices,Espana,Almeria (Andalucia),NacimientoÂ ,,,850 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 7' 42.1""","-2° 41' 15.5""",WGS84,si,2008,Ingeniera Vargas,Imagenes de Google Maps,,,,,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,,,,,
316,Las Vegas,Espana,Cadiz (Andalucia),Medina-SidoniaÂ ,"Siemens SWT-2.3-93 (potencia 2 300 kW, diametro 93 m)",,23 000 kW,si,si,Urbaenergia/Cobra,,Saeta Yield,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 30' 30.3""","-5° 53' 35""",WGS84,si,2008,,Imagenes de Google Maps,,,,,,,,,,,
317,Las Vinas (Fase A),Espana,Burgos (Castilla y Leon),"Valle de Santibanez, Alfz de Quintanaduenas, Merindad de Rio UbiernaÂ ","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,22 000 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 28' 24.7""","-3° 44' 37.3""",WGS84,si,2009,Iberdrola Renewables,Imagenes de Google Maps,,,,,,,,,,,
318,Las Vinas (Fase B),Espana,Burgos (Castilla y Leon),"Valle de Santibanez, Alfz de Quintanaduenas, Merindad de Rio UbiernaÂ ","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,16 000 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 28' 24.7""","-3° 44' 37.3""",WGS84,si,2009,Iberdrola Renewables,Imagenes de Google Maps,,,,,,,,,,,
319,Layna,Espana,Soria (Castilla y Leon),Arcos de Jalon,"Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,50 000 kW,si,si,,Iberdrola Renewables,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 6' 5""","-2° 16' 6.6""",WGS84,si,2011,Iberdrola Renewables,Imagenes de Google Maps,,,,,,,,,,,
320,Lecrin,Espana,Granada (Andalucia),LecrinÂ ,"Enercon E82/2000 (potencia 2 000 kW, diametro 82 m)",,12 000 kW,si,si,,Parque Eolico Lecrin,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 57' 34""","-3° 33' 44.3""",WGS84,si,2009,Parque Eolico Lecrin,Imagenes de Google Maps,,,,,,,,,,,
321,Leitza-Beruete,Espana,Navarra,"Beruete, Leitza","Gamesa G42/600 (potencia 600 kW, diametro 42 m)",,19 200 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 4' 3.5""","-1° 51' 36.9""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
322,Leoz,Espana,Navarra,Leoz,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,1 320 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 32' 50.9""","-1° 35' 3.2""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
323,Leoz,Espana,Navarra,Leoz,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,1 320 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 32' 50.9""","-1° 35' 3.2""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
324,Lerga,Espana,Navarra,Lerga,Gamesa ,,19 800 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 34' 46.3""","-1° 31' 8.7""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,Leoz,,,,,,,,,,
325,Lerga,Espana,Navarra,Lerga,Gamesa ,,19 800 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 34' 46.3""","-1° 31' 8.7""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,Leoz,,,,,,,,,,
326,Les Calobres,Espana,Tarragona (Cataluna),El Perello,GE Energy ,,12 750 kW,si,si,,Electra Mestral SL,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 52' 59.3""","0° 39' 43.7""",WGS84,si,1999,Electra Mestral SL,Imagenes de Google Maps,,,,,,,,,,,
327,Les Colladetes,Espana,Tarragona (Cataluna),El Perello,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",45.5 m,35 640 kW,si,si,,Enervent,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 54' 31.3""","0° 41' 34.7""",WGS84,si,1999,Enervent,Imagenes de Google Maps,,,,,,,,,,,
328,Les Forques,Espana,Tarragona (Cataluna),"Passanant, Vallbora de Les Mongues, Espuga de Francoli","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,30 000 kW,si,si,Gamesa/Elawan,Enel GreenPower,Enel GreenPower,http://www.gestampwind.com/en/business/wind-farms,"41° 29' 58.3""","1° 13' 9.8""",WGS84,si,2009/06,,Imagenes de Google Maps,,,,,,,,,,,
329,Les Forques II,Espana,Tarragona (Cataluna),Passanat,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,12 000 kW,si,si,,Gerr Grupo Energetico XXI,Gas Natural Fenosa Renovables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 29' 58.3""","1° 13' 9.8""",WGS84,si,2012,Gerr Grupo Energetico XXI,Imagenes de Google Maps,,,,,,,,,,,
330,Les Rotes,Espana,Lleida (Cataluna),"La Granadella, Bellaguarda","Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",,44 000 kW,si,si,Tarraco Eolicas Les Garrigues/Eolia,,Eolia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 21' 25.6""","0° 36' 17""",WGS84,si,2010,,Imagenes de Google Maps,,,,,,,,Tarraco Eolicas Les Garrigues/Eolia,,,
331,Lezuza,Espana,Albacete (Castilla-La Mancha),LezuzaÂ ,"Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",,30 000 kW,si,si,,Elecdey,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 54' 0.8""","-2° 20' 57.5""",WGS84,si,2009,Elecdey,Imagenes de Google Maps,,,,,,,,,,,
332,Llanos de Juan Grande,Espana,Las Palmas (Canarias),San Bartolome de TirajanaÂ ,"DESA A300 (potencia 300 kW, diametro 30 m)",,20 100 kW,si,si,,Eolia,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 48' 54.6""","-15° 26' 38.4""",WGS84,si,1997/06,Eolia,Imagenes de Google Maps,,,Eolia/ND,,,,,,,,
333,Llanos de la Esquina,Espana,SC Tenerife (Tenerife),AricoÂ ,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,5 950 kW,si,si,,Desarrollos Eolicos de Buenavista SA,EDP Renovaveis,,"28° 9' 8.7""","-16° 28' 48.8""",WGS84,si,2005,Desarrollos Eolicos de Buenavista SA,Imagenes de Google Maps,,,,,,,,,,,
334,Llanos de San Martin,Espana,Burgos (Castilla y Leon),"Quintanavides, Castil de Peones","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,4 250 kW,si,si,,Eolica la Brujula SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 27' 13.7""","-3° 24' 47.5""",WGS84,si,2006,Eolica la Brujula SA,Imagenes de Google Maps,,,,,,,,,,,
335,Llanos de San Martin,Espana,Burgos (Castilla y Leon),"Quintanavides, Castil de Peones","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,4 250 kW,si,si,,Eolica la Brujula SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 27' 13.7""","-3° 24' 47.5""",WGS84,si,2006,Eolica la Brujula SA,Imagenes de Google Maps,,,,,,,,,,,
336,Lodoso,Espana,Burgos (Castilla y Leon),Pedrosa del Rio UrbelÂ ,"GE Energy 1.5sle (potencia 1 500 kW, diametro 77 m)",,49 500 kW,si,si,PE La BogaÂ SL/Cobra,ACS,Bridgepoint,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 25' 35.8""","-3° 50' 36.8""",WGS84,si,2006,,Imagenes de Google Maps,,,,,,,,,,,
337,Loma de Ayala,Espana,Almeria (Andalucia),"Nacimiento, Las Tres VillasÂ ","Suzlon S88/2100 (potencia 2 100 kW, diametro 88 m)",,21 000 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 9' 13.6""","-2° 41' 18""",WGS84,si,2009,Viento y Energia,Imagenes de Google Maps,,,,,,,,,,,
338,Loma de Lazaro,Espana,Cadiz (Andalucia),Alcala de los Gazules,"Enercon E82/2000 (potencia 2 000 kW, diametro 82 m)",78 m,16 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 24' 16.7""","-5° 46' 34.8""",WGS84,si,2008,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
339,Loma del Capon,Espana,Granada (Andalucia),Albunuelas,"Vestas V100/1800 (potencia 1 800 kW, diametro 100 m)",,30 600 kW,si,si,,,Renovalia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 57' 20.2""","-3° 40' 9.6""",WGS84,si,2012,Viento y Energia,Imagenes de Google Maps,,,,,,,,,,,
340,Loma Gorda,Espana,Guadalajara (Castilla-La Mancha),Tartanedo,"Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",,50 000 kW,si,si,,Vestas,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 0' 31.8""","-1° 56' 52.3""",WGS84,si,2009,Gas Natural Fenosa Renovables,Imagenes de Google Maps,,,,,,,,,,,
341,Loma Viso,Espana,Albacete (Castilla-La Mancha),Albacete,,,2 000 kW,si,si,,Windsolar,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 2' 38.7""","-1° 44' 46.1""",WGS84,si,2007,Ecotecnia,Imagenes de Google Maps,,,,,"Ecotecnia 80 2.0 (potencia 2 000 kW, diametro 80 m)",,,,,,
342,Loma Viso IIÂ ,Espana,Albacete (Castilla-La Mancha),AlbaceteÂ ,,,3 000 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 2' 38.7""","-1° 44' 46.1""",WGS84,si,2009,Ecotecnia,Imagenes de Google Maps,,,,,"Ecotecnia 110 (potencia 3 000 kW, diametro 110 m)",,,,,,
343,Lomas de Manteca,Espana,Granada (Andalucia),LecrinÂ ,"Enercon E82/2000 (potencia 2 000 kW, diametro 82 m)",,4 000 kW,si,si,,Parque Eolico Lomas de Manteca,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 57' 36.6""","-3° 34' 19.4""",WGS84,si,2009,Parque Eolico Lomas de Manteca,Imagenes de Google Maps,,,,,,,,,,,
344,Lomba (Navarra),Espana,Navarra,Lodosa,"M Torres MT TWT 77/1500 (potencia 1 500 kW, diametro 77 m)",70 m,4 500 kW,si,si,,M Torres Desarrollos Energeticos,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 26' 30.5""","-2° 5' 11.9""",WGS84,si,2005/10,M Torres Desarrollos Energeticos,Imagenes de Google Maps,Lomba Experimental,Lomba Experimental,,,,,,,,,
345,Lomillas,Espana,Cuenca (Castilla-La Mancha),Tebar,"GE Energy 1.5se (potencia 1 500 kW, diametro 70.5 m)",,49 500 kW,si,si,,,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 28' 8.7""","-2° 10' 15.1""",WGS84,si,2004,,Imagenes de Google Maps,,,,,,,,,,,
346,Lomito Ramirez,Espana,Las Palmas (Canarias),Ingenio,,,330 kW,si,si,,Muescanarias S.L.,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 55' 47.2""","-15° 25' 17.2""",WGS84,si,2008/09,Muescanarias S.L.,Imagenes de Google Maps,,,,,Enercon ,,,,,,
347,Lomo Cabezo,Espana,Las Palmas (Canarias),AgÃ¼imesÂ ,"Enercon E40/600 (potencia 600 kW, diametro 40 m)",,1 800 kW,si,si,,Socaire SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 53' 8.7""","-15° 25' 45.9""",WGS84,si,2000,Socaire SA,Imagenes de Google Maps,,,,,,,,,,,
348,Los Alburejos,Espana,Cadiz (Andalucia),"Medina, Sidonia","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,10 000 kW,si,si,,Iberenova Promociones,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 27' 33.8""","-5° 52' 17.8""",WGS84,si,2010,Iberenova Promociones,Imagenes de Google Maps,,,,,,,,,,,
349,Los Cantales,Espana,Zaragoza (Aragon),Rueda de Jalon,"Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",,24 000 kW,si,si,,Parque eolico Los Cantales,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 42' 2.9""","-1° 21' 11.3""",WGS84,si,2007,Parque eolico Los Cantales,Imagenes de Google Maps,,,,,,,,,,,
350,Los Cerros (Unzue),Espana,Navarra,Unzue,"M Torres MT TWT 77/1500 (potencia 1 500 kW, diametro 77 m)",60 m,4 500 kW,si,si,Eolica Unzue SL/M Torres Desarrollos Energeticos,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 38' 59.1""","-1° 39' 9.6""",WGS84,si,2003/03,,Imagenes de Google Maps,,,,,,,,Eolica Unzue SL/M Torres Desarrollos Energeticos,,,
351,Los Collados,Espana,Burgos (Castilla y Leon),"Castrojeriz, Villasandino, SasamonÂ ","Ecotecnia 80 1.6 (potencia 1 670 kW, diametro 80 m)",,11 690 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 20' 11""","-4° 6' 30""",WGS84,si,2009,Iberdrola Renewables,Imagenes de Google Maps,,,,,,,,,,,
352,Los Concejiles,Espana,Salamanca (Castilla y Leon),SorihuelaÂ ,"Ecotecnia 74 (potencia 1 670 kW, diametro 74 m)",78 m,11 690 kW,si,si,,Eolica Sorihuela,,http://www.elpower.com/portfolio/concejiles,"40° 27' 3.2""","-5° 42' 7.6""",WGS84,si,2008,Eolica Sorihuela,Imagenes de Google Maps,,,,1200 m,,,,,,,
353,Los Granujales,Espana,Cadiz (Andalucia),Vejer de la Frontera,"Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",67 m,24 000 kW,si,si,,Enel GreenPower,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 19' 14.6""","-5° 57' 45.9""",WGS84,si,2011,Enel GreenPower,Imagenes de Google Maps,,,,,,,,,,,
354,Los Isletes,Espana,Cadiz (Andalucia),Jerez de la Frontera,"Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,10 000 kW,si,si,ACS/Cobra,Iberenova Promociones,Saeta Yield,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 33' 51.6""","-5° 52' 48.8""",WGS84,si,2010,Iberenova Promociones,Imagenes de Google Maps,,,,,,,,,,,
355,Los Isletes,Espana,Cadiz (Andalucia),Jerez de la Frontera,"Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,10 000 kW,si,si,ACS/Cobra,Iberenova Promociones,Saeta Yield,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 33' 51.6""","-5° 52' 48.8""",WGS84,si,2010,Iberenova Promociones,Imagenes de Google Maps,,,,,,,,,,,
356,Los Jarales,Espana,Almeria (Andalucia),AblaÂ ,"Suzlon S88/2100 (potencia 2 100 kW, diametro 88 m)",,16 800 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 10' 48.3""","-2° 46' 50.7""",WGS84,si,2009,Viento y Energia,Imagenes de Google Maps,,,,,,,,,,,
357,Los Lances,Espana,Cadiz (Andalucia),Tarifa,"Made AE-46/I (potencia 660 kW, diametro 46 m)",,5 280 kW,si,si,,Sociedad Eolica Los Lances SA,Renovalia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 4' 55.6""","-5° 39' 47.7""",WGS84,si,1999/01,Renovalia,Imagenes de Google Maps,,,,,,,,,,,
358,Los Lances,Espana,Cadiz (Andalucia),Tarifa,"Made AE-46/I (potencia 660 kW, diametro 46 m)",,5 280 kW,si,si,,Sociedad Eolica Los Lances SA,Renovalia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 4' 55.6""","-5° 39' 47.7""",WGS84,si,1999/01,Renovalia,Imagenes de Google Maps,,,,,,,,,,,
359,Los Lirios,Espana,Huelva (Andalucia),San Silvestre de GuzmanÂ ,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",78 m,48 000 kW,si,si,,Age Generacion Eolica SA,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 22' 24.8""","-7° 22' 37.4""",WGS84,si,2010,Age Generacion Eolica SA,Imagenes de Google Maps,,,,,,,,,,,
360,Los Llanos (Malaga),Espana,Malaga (Andalucia),Casares,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,19 800 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 23' 18.8""","-5° 17' 2""",WGS84,si,2000,Acciona Energia,Imagenes de Google Maps,El Juncal,,,,,,,,,,
361,Los Morrones,Espana,Granada (Andalucia),"Baza, Zujar","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,30 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 30' 11.3""","-2° 51' 1.6""",WGS84,si,2008,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
362,Los Pedreros,Espana,Albacete (Castilla-La Mancha),Fuente Alamo,"Ecotecnia 74 (potencia 1 670 kW, diametro 74 m)",,50 100 kW,si,si,,Gecal SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 42' 5.3""","-1° 23' 30.8""",WGS84,si,2004,,Imagenes de Google Maps,,,,,,,,,,,
363,Los Valles (uno) Repotenciado,Espana,Las Palmas (Canarias),TeguiseÂ ,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,7 650 kW,si,si,,Eolicas de Lanzarote. S.L.,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"29° 5' 42.6""","-13° 30' 23""",WGS84,si,2006,Eolicas de Lanzarote. S.L.,Imagenes de Google Maps,,,,400 m,,,,,,,
364,Los Visos,Espana,Zaragoza (Aragon),Rueda de Jalon,"GE Energy 1.5sl (potencia 1 500 kW, diametro 77 m)",78 m,37 500 kW,si,si,,Molinos del Ebro SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 41' 36.8""","-1° 24' 48.8""",WGS84,si,2005,Molinos del Ebro SA,Imagenes de Google Maps,,,,,,,,,,,
365,Lubian Ampliacion,Espana,Zamora (Castilla y Leon),Lubian,"Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,14 000 kW,si,si,,Ibereolica,Ibereolica,http://www.grupoibereolica.es/ENG/detalle_proyecto.aspx?IdElemento=7,"42° 4' 12""","-6° 54' 36""",WGS84,si,,Ibereolica,Imagenes de Google Maps,,,,,,,,,,,
366,Luna,Espana,Soria (Castilla y Leon),"Trevago, Fuentestrun, Valdegena, Matalebreras, Villar del Campo","Neg Micon NM72c/1500 (potencia 1 500 kW, diametro 72 m)",,49 500 kW,si,si,Danta de energias S.A./Preneal,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 51' 0""","-2° 6' 0""",WGS84,si,2004,,Imagenes de Google Maps,,,,,,,,Danta de energias S.A./Preneal,,,
367,Luzon Norte,Espana,Guadalajara (Castilla-La Mancha),"Maranchon, Luzon","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,38 000 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 3' 4.8""","-2° 16' 13.2""",WGS84,si,2006,Iberdrola Renewables,Imagenes de Google Maps,,,,,,,,,,,
368,Magallon 26,Espana,Zaragoza (Aragon),Magallon,"Neg Micon NM52/900 (potencia 900 kW, diametro 52.2 m)",,10 800 kW,si,si,,Proy Eolicos Aragones,Repsol,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 47' 20.5""","-1° 25' 18.5""",WGS84,si,2003,Proy Eolicos Aragones,Imagenes de Google Maps,,,,,,,,,,,
369,Magaz,Espana,Palencia (Castilla y Leon),"Palencia, Magaz","Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",,30 000 kW,si,si,,Promociones Energeticas del Bierzo,Renovalia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 59' 32.5""","-4° 29' 6.2""",WGS84,si,2012,ENERPAL,Imagenes de Google Maps,,,,,,,,,,,
370,Majales,Espana,Albacete (Castilla-La Mancha),Masegoso,"Acciona AW-1500/77 (potencia 1 500 kW, diametro 77 m)",,49 500 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 42' 9.5""","-2° 22' 53.4""",WGS84,si,2006,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
371,Malagon I,Espana,Ciudad Real (Castilla-La Mancha),"Fuente del Fresno, Los Cortijos","Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",,36 000 kW,si,si,,Eufer,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 17' 7.9""","-4° 3' 6.7""",WGS84,si,2007,Gas Natural Fenosa Renovables,Imagenes de Google Maps,,,,,,,,,,,
